"GEOID","B01001_001","B25001_001","B26001_001","commuteDuration30minplus","commuteDuration60minplus","vehicle","novehiclesavailable","privatetransportmethod","publictransportation","walkingdistancecommute","commutertrain","workedfromhome","ua_per_facilities_prior1980","ua_per_facilities_after2000","ua_total_voms","ua_voms_per_person","ua_per_dr_service","ua_per_do_service","ua_voms_per_facility","ua_oe_after_fares","ua_est_operating_cost_per_person","ua_est_daily_cost","ua_cost_per_hour","ua_passengers_per_hour","ua_est_daily_ridership","ua_est_cost_per_passenger","ua_est_fare_per_person","fatalmvapercapita","fatalmvatrailerpercapita","fatalmvapedestrianstrikepercapita","fatalintoxicationmvapercapita","transportation_score","transportation_rnk","transp_score1","transp_score2","transp_score3","transp_score4","transportation_state_rnk","NAME"
"38031",3231,1820,102,13.3956386292835,2.42990654205607,2.18206338503034,0.458452722063037,81.1536264991433,0.285551113649343,3.54083380925186,0,8.33809251856082,0,0,0,0,0,0,0,0,0.005,0,0,0,5,0,0,0,0,0,0,93.91,6.29283489096573,97.08,92,86.7,112.14,25,"Foster County, North Dakota"
"38033",1796,1039,105,28.0089988751406,8.21147356580427,2.45085995085995,1.34158926728586,78.844169246646,0.309597523219814,7.53353973168215,0,8.25593395252838,0,0,0,0,0,0,0,0,0.003,0,0,0,3,0,0,668.15144766147,222.71714922049,0,222.71714922049,92.53,1.24610591900312,97.08,89.69,86.7,130.95,3.84615384615385,"Golden Valley County, North Dakota"
"38035",70243,33267,4343,11.2390380373379,2.84876526604616,1.81721303486143,1.88933146732695,81.9098457888493,1.10371860333179,4.00742689153644,0,4.13636598071071,0,0,0,0,0,0,0,0,0.428,0,0,0,428,0,0,32.7434762182709,0,1.42362940079439,22.7780704127102,94.7,16.9158878504673,97.08,100.35,86.7,108.39,51.9230769230769,"Grand Forks County, North Dakota"
"38037",2318,1715,50,26.2527233115468,11.1111111111111,2.6090573012939,0.285986653956149,66.7302192564347,0,11.4394661582459,0,12.4880838894185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.95,40,97.08,85.89,86.7,133.14,76.9230769230769,"Grant County, North Dakota"
"38039",2314,1486,95,21.5105162523901,3.82409177820268,2.35111542192047,0,69.6180555555556,0.260416666666667,7.55208333333333,0,9.20138888888889,0,0,0,0,0,0,0,0,0.003,0,0,0,3,0,0,0,0,0,0,94.99,22.5856697819315,97.08,89.32,86.7,126.36,57.6923076923077,"Griggs County, North Dakota"
"38041",2510,1480,179,25.8220502901354,4.54545454545455,2.39066788655078,0.262927256792287,78.7028921998247,0,9.29009640666082,0,9.37773882559159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.43,12.4922118380062,97.08,88.59,86.7,119.67,40.3846153846154,"Hettinger County, North Dakota"
"38043",2468,1743,0,45.7311089303238,7.26202158979392,2.48441674087266,0.72661217075386,67.1207992733878,0,6.44868301544051,0,7.44777475022707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.742301458671,0,0,0,95.39,29.5015576323988,97.08,87.94,86.7,119.19,63.4615384615385,"Kidder County, North Dakota"
"38045",4225,2280,72,20.4891304347826,5.54347826086957,2.55109684323167,1.75023651844844,70.7663197729423,0,8.08893093661306,0,12.961210974456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.360946745562,0,0,0,94.61,15.2336448598131,97.08,88.26,86.7,135.4,48.0769230769231,"LaMoure County, North Dakota"
"38047",1743,1141,79,20.9239130434783,3.53260869565217,2.49137931034483,2.18642117376295,66.0919540229885,0.574712643678161,7.93103448275862,0,15.4022988505747,0,0,0,0,0,0,0,0,0.005,0,0,0,5,0,0,401.606425702811,0,0,401.606425702811,93.58,4.17445482866044,97.08,90.67,86.7,164.05,18.2692307692308,"Logan County, North Dakota"
"38049",5825,3163,93,39.036341363822,10.4532462229481,2.60928961748634,1.26536514822849,74.3754461099215,0.142755174875089,4.28265524625268,0,12.5981441827266,0,0,0,0,0,0,0,0,0.004,0,0,0,4,0,0,188.841201716738,0,0,0,95.75,36.2305295950156,97.08,87.28,86.7,111.81,71.1538461538462,"McHenry County, North Dakota"
"38051",2535,1833,103,10.5610561056106,1.65016501650165,2.10294117647059,1.1094674556213,75.8136094674556,0,7.32248520710059,0,10.3550295857988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.39,11.9003115264798,97.08,93.14,86.7,128.21,38.4615384615385,"McIntosh County, North Dakota"
"38053",13836,6856,246,28.6166508388731,7.13833491611269,2.30415364001787,0.368080094228504,80.4101221640489,0.116346713205352,1.75974403723095,0,8.1151832460733,0,0,0,0,0,0,0,0,0.008,0,0,0,8,0,0,180.688060132986,0,7.22752240531946,14.4550448106389,94.45,12.7414330218069,97.08,90.04,86.7,102.83,42.3076923076923,"McKenzie County, North Dakota"
"38055",9531,6248,141,29.8936684388594,7.41904301594974,2.47941445562672,2.74033149171271,77.5347912524851,0,3.20300419703998,0,8.59288712171416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.14,24.9532710280374,97.08,90.27,86.7,104.7,59.6153846153846,"McLean County, North Dakota"
"38057",8359,4824,153,19.969040247678,6.70794633642931,2.55419055419055,1.61685448309652,86.5817825661117,0.171400587659158,2.88932419196866,0,5.09304603330069,0,0,0,0,0,0,0,0,0.007,0,0,0,7,0,0,119.631534872592,0,0,0,93.26,2.58566978193146,97.08,88.43,86.7,97.43,9.61538461538461,"Mercer County, North Dakota"
