"geoid","geolevel","year","transportation_score","transportation_rnk","transportation_state_rnk"
"05000US13169","county","2019","90.61","8.7916","7.0064"
"05000US13171","county","2019","92.27","19.0217","17.8344"
"05000US13173","county","2019","93.62","29.0281","27.3885"
"05000US13175","county","2019","94.94","39.2263","34.3949"
"05000US13177","county","2019","90","6.1381","5.7325"
"05000US13179","county","2019","99.79","69.3414","65.6051"
"05000US13181","county","2019","91.82","15.8248","15.2866"
"05000US13183","county","2019","94.3","34.2072","31.2102"
"05000US13185","county","2019","102.96","81.6496","84.0764"
"05000US13187","county","2019","92.1","17.8708","16.5605"
"05000US13189","county","2019","100.67","73.4335","68.7898"
"05000US13191","county","2019","95.07","40.2494","35.6688"
"05000US13193","county","2019","101.11","75.2558","70.7006"
"05000US13195","county","2019","91.33","12.5959","10.828"
"05000US13197","county","2019","95.35","42.1675","39.4904"
"05000US13199","county","2019","98.31","61.7008","59.8726"
"05000US13201","county","2019","97.41","56.4898","54.1401"
"05000US13205","county","2019","107.06","89.578","92.9936"
"05000US13207","county","2019","89.33","3.9322","3.8217"
"05000US13209","county","2019","93.43","27.9412","25.1592"
"05000US13211","county","2019","94.69","37.1803","33.758"
"05000US13213","county","2019","94.39","34.8465","33.121"
"05000US13215","county","2019","118.19","95.5882","97.4522"
"05000US13217","county","2019","103.57","83.2161","86.6242"
"05000US13219","county","2019","88.99","3.165","3.1847"
"05000US13221","county","2019","89.56","4.5716","4.4586"
"05000US13223","county","2019","100.59","72.954","68.1529"
"05000US13225","county","2019","99.82","69.5972","66.879"
"05000US13227","county","2019","94.35","34.6228","31.8471"
"05000US13229","county","2019","92.84","23.4015","21.0191"
"05000US13231","county","2019","86.32","0.6714","0"
"05000US13233","county","2019","101.01","74.6803","69.4268"
"05000US13235","county","2019","98.93","65.633","62.4204"
"05000US13237","county","2019","99.8","69.4693","66.242"
"05000US13239","county","2019","101.81","78.0051","77.0701"
"05000US13241","county","2019","96.68","51.9821","49.0446"
"05000US13243","county","2019","107.91","90.1854","93.6306"
"05000US13245","county","2019","103.75","83.7276","88.2166"
"05000US13247","county","2019","105.64","87.6918","91.0828"
"05000US13249","county","2019","87.52","1.2468","0.6369"
"05000US13251","county","2019","94.12","33.0243","29.9363"
"05000US13253","county","2019","102.27","79.6355","78.9809"
"05000US13255","county","2019","103.32","82.5448","85.9873"
"05000US13257","county","2019","91.66","14.8018","14.6497"
"05000US13259","county","2019",NA,NA,NA
"05000US13261","county","2019","97.19","55.0192","50.3185"
"05000US13263","county","2019","92.66","21.7072","19.1083"
"05000US13265","county","2019","101.44","76.5665","74.5223"
"05000US13267","county","2019","95.33","42.0396","38.8535"
"05000US13269","county","2019","95.9","46.4194","42.6752"
"05000US13271","county","2019","93.34","27.4297","23.8854"
"05000US13273","county","2019","101.13","75.3197","71.3376"
"05000US13275","county","2019","102.05","78.8363","77.707"
"05000US13277","county","2019","105.31","87.0524","89.8089"
"05000US13279","county","2019","97.2","55.1471","50.9554"
"05000US13281","county","2019","95.21","41.2084","36.9427"
"05000US13283","county","2019","97.62","57.8325","55.7325"
"05000US13285","county","2019","116.73","95.2046","96.8153"
"05000US13287","county","2019","101.7","77.6215","75.7962"
"05000US13289","county","2019","95.2","41.1445","36.3057"
"05000US13291","county","2019","93.94","31.7136","29.2994"
"05000US13293","county","2019","91.61","14.3542","14.0127"
"05000US13295","county","2019","105.5","87.2123","90.4459"
"05000US13297","county","2019","101.42","76.3747","73.8854"
"05000US13299","county","2019","102.69","80.9143","82.8025"
"05000US13301","county","2019","96.64","51.6944","47.7707"
"05000US13303","county","2019","98.15","61.0614","59.2357"
"05000US13305","county","2019","96.17","48.5934","44.586"
"05000US13307","county","2019","88.87","2.8453","2.5478"
"05000US13309","county","2019","95.85","46.2276","42.0382"
"05000US13311","county","2019","91.37","12.7877","12.1019"
"05000US13313","county","2019","98.38","62.2442","60.828"
"05000US13315","county","2019","93.34","27.4297","23.8854"
"05000US13317","county","2019","95.32","42.0077","38.2166"
"05000US13319","county","2019","93.43","27.9412","25.1592"
"05000US13321","county","2019","92.65","21.6752","18.4713"
"05000US15001","county","2019","102.03","78.6765","66.6667"
"05000US15003","county","2019","117.5","95.4284","100"
"05000US15005","county","2019",NA,NA,NA
"05000US15007","county","2019","97.96","59.8465","0"
"05000US15009","county","2019","100.61","73.1138","33.3333"
"05000US16001","county","2019","102.21","79.4437","97.6744"
"05000US16003","county","2019","95.23","41.4003","55.814"
"05000US16005","county","2019","101.24","75.8312","95.3488"
"05000US16007","county","2019","93.78","30.1471","44.186"
"05000US16009","county","2019","92.05","17.4233","20.9302"
"05000US16011","county","2019","94.97","39.4182","53.4884"
"05000US16013","county","2019","98.41","62.5639","88.3721"
"05000US16015","county","2019","97.14","54.6355","79.0698"
